SubCategory,Group 1,Value Column Name,Value
"Printers, Scanners & Fax","Revenue","PY Sales","1000658"
"Printers, Scanners & Fax","Revenue","YoY Sales","219277"
"Printers, Scanners & Fax","Revenue","YoY Sales %","21.91328106106182"
"Printers, Scanners & Fax","Profitability","Margin","-43267.5"
"Printers, Scanners & Fax","Profitability","Margin %","-3.5467053572526406"
"Printers, Scanners & Fax","Revenue","Forecast","2622860.25"
"Printers, Scanners & Fax","Customer","Total Customers","1228"
"Digital SLR Cameras","Revenue","Sales","1167705"
"Digital SLR Cameras","Revenue","PY Sales","618197"
"Digital SLR Cameras","Revenue","YoY Sales","549508"
"Digital SLR Cameras","Revenue","YoY Sales %","88.88881699522967"
"Digital SLR Cameras","Profitability","Margin","1167705"
"Digital SLR Cameras","Profitability","Margin %","100"
"Digital SLR Cameras","Revenue","Forecast","397019.7"
"Digital SLR Cameras","Customer","Total Customers","618"
"Digital Cameras","Revenue","Sales","1079613"
"Digital Cameras","Revenue","PY Sales","825023"
"Digital Cameras","Revenue","YoY Sales","254590"
"Digital Cameras","Revenue","YoY Sales %","30.858533640880314"
"Digital Cameras","Profitability","Margin","1079613"
"Digital Cameras","Profitability","Margin %","100"
"Digital Cameras","Revenue","Forecast","917671.0499999999"
"Digital Cameras","Customer","Total Customers","952"
"Coffee Machines","Revenue","Sales","1036322"
"Coffee Machines","Revenue","PY Sales","560444"
"Coffee Machines","Revenue","YoY Sales","475878"
"Coffee Machines","Revenue","YoY Sales %","84.91089207842354"
"Coffee Machines","Profitability","Margin","-29413"
"Coffee Machines","Profitability","Margin %","-2.838210517580443"
"Coffee Machines","Revenue","Forecast","860147.26"
"Coffee Machines","Customer","Total Customers","457"
"Lamps","Revenue","Sales","988391"
"Lamps","Revenue","PY Sales","517558"
"Lamps","Revenue","YoY Sales","470833"
"Lamps","Revenue","YoY Sales %","90.97202632361977"
"Lamps","Profitability","Margin","716571"
"Lamps","Profitability","Margin %","72.49873784767364"
"Lamps","Revenue","Forecast","1225604.84"
"Lamps","Customer","Total Customers","935"
"Water Heaters","Revenue","Sales","790767"
"Water Heaters","Revenue","PY Sales","347424"
"Water Heaters","Revenue","YoY Sales","443343"
"Water Heaters","Revenue","YoY Sales %","127.6086280740536"
"Water Heaters","Profitability","Margin","149883"
"Water Heaters","Profitability","Margin %","18.95412934530652"
"Water Heaters","Revenue","Forecast","1194058.17"
"Water Heaters","Customer","Total Customers","259"
"Smart phones & PDAs","Revenue","Sales","745239"
"Smart phones & PDAs","Revenue","PY Sales","370933"
"Smart phones & PDAs","Revenue","YoY Sales","374306"
"Smart phones & PDAs","Revenue","YoY Sales %","100.90932863886471"
"Smart phones & PDAs","Profitability","Margin","745239"
"Smart phones & PDAs","Profitability","Margin %","100"
"Smart phones & PDAs","Revenue","Forecast","782500.9500000001"
"Smart phones & PDAs","Customer","Total Customers","623"
"Computers Accessories","Revenue","Sales","700036"
"Computers Accessories","Revenue","PY Sales","572230"
"Computers Accessories","Revenue","YoY Sales","127806"
"Computers Accessories","Revenue","YoY Sales %","22.334725547419744"
"Computers Accessories","Profitability","Margin","-108068"
"Computers Accessories","Profitability","Margin %","-15.437491786136713"
"Computers Accessories","Revenue","Forecast","329016.92"
"Computers Accessories","Customer","Total Customers","2039"
"Microwaves","Revenue","Sales","629369"
"Microwaves","Revenue","PY Sales","310190"
"Microwaves","Revenue","YoY Sales","319179"
"Microwaves","Revenue","YoY Sales %","102.8979012863084"
"Microwaves","Profitability","Margin","21398"
"Microwaves","Profitability","Margin %","3.3999132464420714"
"Microwaves","Revenue","Forecast","295803.43"
"Microwaves","Customer","Total Customers","662"
"Air Conditioners","Revenue","Sales","599994"
"Air Conditioners","Revenue","PY Sales","347276"
"Air Conditioners","Revenue","YoY Sales","252718"
"Air Conditioners","Revenue","YoY Sales %","72.77151314804364"
"Air Conditioners","Profitability","Margin","330732"
"Air Conditioners","Profitability","Margin %","55.122551225512254"
"Air Conditioners","Revenue","Forecast","629993.7000000001"
"Air Conditioners","Customer","Total Customers","421"
"Touch Screen Phones","Revenue","Sales","518090"
"Touch Screen Phones","Revenue","PY Sales","267738"
"Touch Screen Phones","Revenue","YoY Sales","250352"
"Touch Screen Phones","Revenue","YoY Sales %","93.50633828593625"
"Touch Screen Phones","Profitability","Margin","518090"
"Touch Screen Phones","Profitability","Margin %","100"
"Touch Screen Phones","Revenue","Forecast","543994.5"
"Touch Screen Phones","Customer","Total Customers","433"
"MP4&MP3","Revenue","Sales","482183"
"MP4&MP3","Revenue","PY Sales","414363"
"MP4&MP3","Revenue","YoY Sales","67820"
"MP4&MP3","Revenue","YoY Sales %","16.36729148114093"
"MP4&MP3","Profitability","Margin","482183"
"MP4&MP3","Profitability","Margin %","100"
"MP4&MP3","Revenue","Forecast","506292.15"
"MP4&MP3","Customer","Total Customers","647"
"Bluetooth Headphones","Revenue","Sales","378745"
"Bluetooth Headphones","Revenue","PY Sales","308952"
"Bluetooth Headphones","Revenue","YoY Sales","69793"
"Bluetooth Headphones","Revenue","YoY Sales %","22.590240555167146"
"Bluetooth Headphones","Profitability","Margin","378745"
"Bluetooth Headphones","Profitability","Margin %","100"
"Bluetooth Headphones","Revenue","Forecast","397682.25"
"Bluetooth Headphones","Customer","Total Customers","692"
"REconomyrding Pen","Revenue","Sales","304416"
"REconomyrding Pen","Revenue","PY Sales","246968"
"REconomyrding Pen","Revenue","YoY Sales","57448"
"REconomyrding Pen","Revenue","YoY Sales %","23.261313206569273"
"REconomyrding Pen","Profitability","Margin","304416"
"REconomyrding Pen","Profitability","Margin %","100"
"REconomyrding Pen","Revenue","Forecast","319636.8"
"REconomyrding Pen","Customer","Total Customers","361"
"Movie DVD","Revenue","Sales","257671"
"Movie DVD","Revenue","PY Sales","124214"
"Movie DVD","Revenue","YoY Sales","133457"
"Movie DVD","Revenue","YoY Sales %","107.44119020400278"
"Movie DVD","Profitability","Margin","257671"
"Movie DVD","Profitability","Margin %","100"
"Movie DVD","Revenue","Forecast","270554.55"
"Movie DVD","Customer","Total Customers","579"
"VCD & DVD","Revenue","Sales","204455"
"VCD & DVD","Revenue","PY Sales","163750"
"VCD & DVD","Revenue","YoY Sales","40705"
"VCD & DVD","Revenue","YoY Sales %","24.858015267175574"
"VCD & DVD","Profitability","Margin","204455"
"VCD & DVD","Profitability","Margin %","100"
"VCD & DVD","Revenue","Forecast","214677.75"
"VCD & DVD","Customer","Total Customers","445"
"Download Games","Revenue","Sales","187006"
"Download Games","Revenue","PY Sales","92413"
"Download Games","Revenue","YoY Sales","94593"
"Download Games","Revenue","YoY Sales %","102.35897546881931"
"Download Games","Profitability","Margin","187006"
"Download Games","Profitability","Margin %","100"
"Download Games","Revenue","Forecast","196356.30000000002"
"Download Games","Customer","Total Customers","732"
"Fans","Revenue","Sales","184789"
"Fans","Revenue","PY Sales","101419"
"Fans","Revenue","YoY Sales","83370"
"Fans","Revenue","YoY Sales %","82.2035318825861"
"Fans","Profitability","Margin","-67274"
"Fans","Profitability","Margin %","-36.405846668362294"
"Fans","Revenue","Forecast","194028.45"
"Fans","Customer","Total Customers","513"
"Cameras & Camcorders Accessories","Revenue","Sales","161061"
"Cameras & Camcorders Accessories","Revenue","PY Sales","90745"
"Cameras & Camcorders Accessories","Revenue","YoY Sales","70316"
"Cameras & Camcorders Accessories","Revenue","YoY Sales %","77.48746487409774"
"Cameras & Camcorders Accessories","Profitability","Margin","161061"
"Cameras & Camcorders Accessories","Profitability","Margin %","100"
"Cameras & Camcorders Accessories","Revenue","Forecast","204547.47"
"Cameras & Camcorders Accessories","Customer","Total Customers","453"
"Home & Office Phones","Revenue","Sales","76171"
"Home & Office Phones","Revenue","PY Sales","40281"
"Home & Office Phones","Revenue","YoY Sales","35890"
"Home & Office Phones","Revenue","YoY Sales %","89.0990789702341"
"Home & Office Phones","Profitability","Margin","76171"
"Home & Office Phones","Profitability","Margin %","100"
"Home & Office Phones","Revenue","Forecast","79979.55"
"Home & Office Phones","Customer","Total Customers","622"
"Cell phones Accessories","Revenue","Sales","18704"
"Cell phones Accessories","Revenue","PY Sales","9645"
"Cell phones Accessories","Revenue","YoY Sales","9059"
"Cell phones Accessories","Revenue","YoY Sales %","93.92431311560394"
"Cell phones Accessories","Profitability","Margin","18704"
"Cell phones Accessories","Profitability","Margin %","100"
"Cell phones Accessories","Revenue","Forecast","19639.2"
"Cell phones Accessories","Customer","Total Customers","244"
"Boxed Games","Revenue","Sales","9810"
"Boxed Games","Revenue","PY Sales","4989"
"Boxed Games","Revenue","YoY Sales","4821"
"Boxed Games","Revenue","YoY Sales %","96.63259170174385"
"Boxed Games","Profitability","Margin","9810"
"Boxed Games","Profitability","Margin %","100"
"Boxed Games","Revenue","Forecast","10300.5"
"Boxed Games","Customer","Total Customers","328"
