SubCategory,Month,Value Column Name,Value
"Monitors","Feb","(Sales - Forecast)%","7.333333333333334"
"Monitors","Mar","Forecast","2780.04"
"Monitors","Mar","Sales","23167"
"Monitors","Mar","Sales - Forecast","20386.96"
"Monitors","Mar","(Sales - Forecast)%","7.333333333333332"
"Monitors","Apr","Forecast","3039.8399999999997"
"Monitors","Apr","Sales","25332"
"Monitors","Apr","Sales - Forecast","22292.16"
"Monitors","Apr","(Sales - Forecast)%","7.333333333333334"
"Monitors","May","Forecast","3536.16"
"Monitors","May","Sales","29468"
"Monitors","May","Sales - Forecast","25931.84"
"Monitors","May","(Sales - Forecast)%","7.333333333333334"
"Monitors","Jun","Forecast","1404.72"
"Monitors","Jun","Sales","11706"
"Monitors","Jun","Sales - Forecast","10301.28"
"Monitors","Jun","(Sales - Forecast)%","7.333333333333334"
"Monitors","Jul","Forecast","3912"
"Monitors","Jul","Sales","32600"
"Monitors","Jul","Sales - Forecast","28688"
"Monitors","Jul","(Sales - Forecast)%","7.333333333333332"
"Monitors","Aug","Forecast","3936"
"Monitors","Aug","Sales","32800"
"Monitors","Aug","Sales - Forecast","28864"
"Monitors","Aug","(Sales - Forecast)%","7.333333333333332"
"Monitors","Sep","Forecast","5464.5599999999995"
"Monitors","Sep","Sales","45538"
"Monitors","Sep","Sales - Forecast","40073.44"
"Monitors","Sep","(Sales - Forecast)%","7.333333333333335"
"Monitors","Oct","Forecast","2866.92"
"Monitors","Oct","Sales","23891"
"Monitors","Oct","Sales - Forecast","21024.08"
"Monitors","Oct","(Sales - Forecast)%","7.333333333333334"
"Monitors","Nov","Forecast","5765.76"
"Monitors","Nov","Sales","48048"
"Monitors","Nov","Sales - Forecast","42282.24"
"Monitors","Nov","(Sales - Forecast)%","7.333333333333332"
"Monitors","Dec","Forecast","4447.32"
"Monitors","Dec","Sales","37061"
"Monitors","Dec","Sales - Forecast","32613.68"
"Monitors","Dec","(Sales - Forecast)%","7.333333333333334"
"Microwaves","Jan","Forecast","14737.32"
"Microwaves","Jan","Sales","31356"
"Microwaves","Jan","Sales - Forecast","16618.68"
"Microwaves","Jan","(Sales - Forecast)%","1.127659574468085"
"Microwaves","Feb","Forecast","9166.41"
"Microwaves","Feb","Sales","19503"
"Microwaves","Feb","Sales - Forecast","10336.59"
"Microwaves","Feb","(Sales - Forecast)%","1.127659574468085"
"Microwaves","Mar","Forecast","13855.13"
"Microwaves","Mar","Sales","29479"
"Microwaves","Mar","Sales - Forecast","15623.87"
"Microwaves","Mar","(Sales - Forecast)%","1.1276595744680853"
"Microwaves","Apr","Forecast","6686.69"
"Microwaves","Apr","Sales","14227"
"Microwaves","Apr","Sales - Forecast","7540.31"
"Microwaves","Apr","(Sales - Forecast)%","1.1276595744680853"
"Microwaves","May","Forecast","5889.57"
"Microwaves","May","Sales","12531"
"Microwaves","May","Sales - Forecast","6641.43"
"Microwaves","May","(Sales - Forecast)%","1.1276595744680853"
"Microwaves","Jun","Forecast","4849.46"
"Microwaves","Jun","Sales","10318"
"Microwaves","Jun","Sales - Forecast","5468.54"
"Microwaves","Jun","(Sales - Forecast)%","1.127659574468085"
"Microwaves","Jul","Forecast","15988.46"
"Microwaves","Jul","Sales","34018"
"Microwaves","Jul","Sales - Forecast","18029.54"
"Microwaves","Jul","(Sales - Forecast)%","1.1276595744680853"
"Microwaves","Aug","Forecast","15241.63"
"Microwaves","Aug","Sales","32429"
"Microwaves","Aug","Sales - Forecast","17187.370000000003"
"Microwaves","Aug","(Sales - Forecast)%","1.1276595744680853"
"Microwaves","Sep","Forecast","18409.899999999998"
"Microwaves","Sep","Sales","39170"
"Microwaves","Sep","Sales - Forecast","20760.100000000002"
"Microwaves","Sep","(Sales - Forecast)%","1.1276595744680853"
"Microwaves","Oct","Forecast","16238.029999999999"
"Microwaves","Oct","Sales","34549"
"Microwaves","Oct","Sales - Forecast","18310.97"
"Microwaves","Oct","(Sales - Forecast)%","1.1276595744680853"
"Microwaves","Nov","Forecast","17369.32"
"Microwaves","Nov","Sales","36956"
"Microwaves","Nov","Sales - Forecast","19586.68"
"Microwaves","Nov","(Sales - Forecast)%","1.127659574468085"
"Microwaves","Dec","Forecast","11582.21"
"Microwaves","Dec","Sales","24643"
"Microwaves","Dec","Sales - Forecast","13060.79"
"Microwaves","Dec","(Sales - Forecast)%","1.1276595744680853"
"Laptops","Jan","Forecast","119746.8"
"Laptops","Jan","Sales","96570"
"Laptops","Jan","Sales - Forecast","-23176.800000000003"
"Laptops","Jan","(Sales - Forecast)%","-0.1935483870967742"
"Laptops","Feb","Forecast","81262.16"
"Laptops","Feb","Sales","65534"
"Laptops","Feb","Sales - Forecast","-15728.160000000003"
"Laptops","Feb","(Sales - Forecast)%","-0.1935483870967742"
"Laptops","Mar","Forecast","70368.76"
"Laptops","Mar","Sales","56749"
"Laptops","Mar","Sales - Forecast","-13619.759999999995"
"Laptops","Mar","(Sales - Forecast)%","-0.19354838709677413"
"Laptops","Apr","Forecast","27640.84"
"Laptops","Apr","Sales","22291"
"Laptops","Apr","Sales - Forecast","-5349.84"
"Laptops","Apr","(Sales - Forecast)%","-0.1935483870967742"
"Laptops","May","Forecast","43297.08"
"Laptops","May","Sales","34917"
"Laptops","May","Sales - Forecast","-8380.080000000002"
"Laptops","May","(Sales - Forecast)%","-0.1935483870967742"
"Laptops","Jun","Forecast","60395.44"
"Laptops","Jun","Sales","48706"
"Laptops","Jun","Sales - Forecast","-11689.440000000002"
"Laptops","Jun","(Sales - Forecast)%","-0.1935483870967742"
"Laptops","Jul","Forecast","45908.52"
"Laptops","Jul","Sales","37023"
"Laptops","Jul","Sales - Forecast","-8885.519999999997"
"Laptops","Jul","(Sales - Forecast)%","-0.19354838709677413"
"Laptops","Aug","Forecast","63402.44"
"Laptops","Aug","Sales","51131"
"Laptops","Aug","Sales - Forecast","-12271.440000000002"
"Laptops","Aug","(Sales - Forecast)%","-0.1935483870967742"
"Laptops","Sep","Forecast","68574.48"
"Laptops","Sep","Sales","55302"
"Laptops","Sep","Sales - Forecast","-13272.479999999996"
"Laptops","Sep","(Sales - Forecast)%","-0.19354838709677413"
"Laptops","Oct","Forecast","90591.92"
"Laptops","Oct","Sales","73058"
"Laptops","Oct","Sales - Forecast","-17533.92"
"Laptops","Oct","(Sales - Forecast)%","-0.1935483870967742"
"Laptops","Nov","Forecast","68718.31999999999"
"Laptops","Nov","Sales","55418"
"Laptops","Nov","Sales - Forecast","-13300.319999999992"
"Laptops","Nov","(Sales - Forecast)%","-0.1935483870967741"
"Laptops","Dec","Forecast","88624.04"
"Laptops","Dec","Sales","71471"
"Laptops","Dec","Sales - Forecast","-17153.039999999994"
"Laptops","Dec","(Sales - Forecast)%","-0.19354838709677413"
"Lamps","Jan","Forecast","66284.2"
"Lamps","Jan","Sales","53455"
"Lamps","Jan","Sales - Forecast","-12829.199999999997"
"Lamps","Jan","(Sales - Forecast)%","-0.19354838709677416"
"Lamps","Feb","Forecast","26817.48"
"Lamps","Feb","Sales","21627"
"Lamps","Feb","Sales - Forecast","-5190.48"
"Lamps","Feb","(Sales - Forecast)%","-0.1935483870967742"
"Lamps","Mar","Forecast","31493.52"
"Lamps","Mar","Sales","25398"
"Lamps","Mar","Sales - Forecast","-6095.52"
"Lamps","Mar","(Sales - Forecast)%","-0.1935483870967742"
"Lamps","Apr","Forecast","30544.92"
"Lamps","Apr","Sales","24633"
"Lamps","Apr","Sales - Forecast","-5911.919999999998"
"Lamps","Apr","(Sales - Forecast)%","-0.19354838709677416"
"Lamps","May","Forecast","26648.84"
"Lamps","May","Sales","21491"
"Lamps","May","Sales - Forecast","-5157.84"
"Lamps","May","(Sales - Forecast)%","-0.1935483870967742"
"Lamps","Jun","Forecast","40257.84"
"Lamps","Jun","Sales","32466"
"Lamps","Jun","Sales - Forecast","-7791.8399999999965"
"Lamps","Jun","(Sales - Forecast)%","-0.19354838709677413"
"Lamps","Jul","Forecast","49888.92"
"Lamps","Jul","Sales","40233"
"Lamps","Jul","Sales - Forecast","-9655.919999999998"
"Lamps","Jul","(Sales - Forecast)%","-0.19354838709677416"
"Lamps","Aug","Forecast","42791.159999999996"
"Lamps","Aug","Sales","34509"
"Lamps","Aug","Sales - Forecast","-8282.159999999996"
"Lamps","Aug","(Sales - Forecast)%","-0.19354838709677413"
"Lamps","Sep","Forecast","87070.31999999999"
"Lamps","Sep","Sales","70218"
"Lamps","Sep","Sales - Forecast","-16852.319999999992"
"Lamps","Sep","(Sales - Forecast)%","-0.19354838709677413"
"Lamps","Oct","Forecast","80657.04"
"Lamps","Oct","Sales","65046"
"Lamps","Oct","Sales - Forecast","-15611.039999999994"
"Lamps","Oct","(Sales - Forecast)%","-0.19354838709677413"
"Lamps","Nov","Forecast","64847.04"
"Lamps","Nov","Sales","52296"
"Lamps","Nov","Sales - Forecast","-12551.04"
"Lamps","Nov","(Sales - Forecast)%","-0.1935483870967742"
"Lamps","Dec","Forecast","36531.64"
"Lamps","Dec","Sales","29461"
"Lamps","Dec","Sales - Forecast","-7070.639999999999"
"Lamps","Dec","(Sales - Forecast)%","-0.1935483870967742"
"Fans","Jan","Forecast","9158.1"
"Fans","Jan","Sales","8722"
"Fans","Jan","Sales - Forecast","-436.10000000000036"
"Fans","Jan","(Sales - Forecast)%","-0.04761904761904765"
"Fans","Feb","Forecast","5080.95"
"Fans","Feb","Sales","4839"
"Fans","Feb","Sales - Forecast","-241.94999999999982"
"Fans","Feb","(Sales - Forecast)%","-0.04761904761904758"
"Fans","Mar","Forecast","2089.5"
"Fans","Mar","Sales","1990"
"Fans","Mar","Sales - Forecast","-99.5"
"Fans","Mar","(Sales - Forecast)%","-0.047619047619047616"
"Fans","Apr","Forecast","4933.95"
"Fans","Apr","Sales","4699"
"Fans","Apr","Sales - Forecast","-234.94999999999982"
"Fans","Apr","(Sales - Forecast)%","-0.04761904761904758"
"Fans","May","Forecast","4858.35"
"Fans","May","Sales","4627"
"Fans","May","Sales - Forecast","-231.35000000000036"
"Fans","May","(Sales - Forecast)%","-0.04761904761904769"
"Fans","Jun","Forecast","3322.2000000000003"
"Fans","Jun","Sales","3164"
"Fans","Jun","Sales - Forecast","-158.20000000000027"
"Fans","Jun","(Sales - Forecast)%","-0.0476190476190477"
"Fans","Jul","Forecast","10028.550000000001"
"Fans","Jul","Sales","9551"
"Fans","Jul","Sales - Forecast","-477.5500000000011"
"Fans","Jul","(Sales - Forecast)%","-0.047619047619047714"
"Fans","Aug","Forecast","9060.45"
"Fans","Aug","Sales","8629"
"Fans","Aug","Sales - Forecast","-431.4500000000007"
"Fans","Aug","(Sales - Forecast)%","-0.04761904761904769"
"Fans","Sep","Forecast","10790.85"
"Fans","Sep","Sales","10277"
"Fans","Sep","Sales - Forecast","-513.8500000000004"
"Fans","Sep","(Sales - Forecast)%","-0.04761904761904765"
"Fans","Oct","Forecast","13076.7"
"Fans","Oct","Sales","12454"
"Fans","Oct","Sales - Forecast","-622.7000000000007"
"Fans","Oct","(Sales - Forecast)%","-0.04761904761904767"
"Fans","Nov","Forecast","8103.900000000001"
"Fans","Nov","Sales","7718"
"Fans","Nov","Sales - Forecast","-385.90000000000055"
"Fans","Nov","(Sales - Forecast)%","-0.04761904761904769"
"Fans","Dec","Forecast","7035"
"Fans","Dec","Sales","6700"
"Fans","Dec","Sales - Forecast","-335"
"Fans","Dec","(Sales - Forecast)%","-0.047619047619047616"
"Desktops","Jan","Forecast","10670.94"
"Desktops","Jan","Sales","50814"
"Desktops","Jan","Sales - Forecast","40143.06"
"Desktops","Jan","(Sales - Forecast)%","3.7619047619047614"
"Desktops","Feb","Forecast","5382.51"
"Desktops","Feb","Sales","25631"
"Desktops","Feb","Sales - Forecast","20248.489999999998"
"Desktops","Feb","(Sales - Forecast)%","3.7619047619047614"
"Desktops","Mar","Forecast","4191.599999999999"
"Desktops","Mar","Sales","19960"
"Desktops","Mar","Sales - Forecast","15768.400000000001"
"Desktops","Mar","(Sales - Forecast)%","3.7619047619047628"
"Desktops","Apr","Forecast","4024.23"
"Desktops","Apr","Sales","19163"
"Desktops","Apr","Sales - Forecast","15138.77"
"Desktops","Apr","(Sales - Forecast)%","3.761904761904762"
"Desktops","May","Forecast","1881.6"
"Desktops","May","Sales","8960"
"Desktops","May","Sales - Forecast","7078.4"
"Desktops","May","(Sales - Forecast)%","3.761904761904762"
"Desktops","Jun","Forecast","3627.54"
"Desktops","Jun","Sales","17274"
"Desktops","Jun","Sales - Forecast","13646.46"
"Desktops","Jun","(Sales - Forecast)%","3.761904761904762"
"Desktops","Jul","Forecast","2559.9"
"Desktops","Jul","Sales","12190"
"Desktops","Jul","Sales - Forecast","9630.1"
"Desktops","Jul","(Sales - Forecast)%","3.761904761904762"
"Desktops","Aug","Forecast","5653.41"
"Desktops","Aug","Sales","26921"
"Desktops","Aug","Sales - Forecast","21267.59"
"Desktops","Aug","(Sales - Forecast)%","3.761904761904762"
"Desktops","Sep","Forecast","5061.42"
"Desktops","Sep","Sales","24102"
"Desktops","Sep","Sales - Forecast","19040.58"
"Desktops","Sep","(Sales - Forecast)%","3.761904761904762"
"Desktops","Oct","Forecast","6387.99"
"Desktops","Oct","Sales","30419"
"Desktops","Oct","Sales - Forecast","24031.010000000002"
"Desktops","Oct","(Sales - Forecast)%","3.761904761904762"
"Desktops","Nov","Forecast","1568.49"
"Desktops","Nov","Sales","7469"
"Desktops","Nov","Sales - Forecast","5900.51"
"Desktops","Nov","(Sales - Forecast)%","3.761904761904762"
"Desktops","Dec","Forecast","4928.91"
"Desktops","Dec","Sales","23471"
"Desktops","Dec","Sales - Forecast","18542.09"
"Desktops","Dec","(Sales - Forecast)%","3.761904761904762"
"Computers Accessories","Jan","Forecast","7953.339999999999"
"Computers Accessories","Jan","Sales","16922"
