Category,SubCategory,Quarter,Month,Value Column Name,Value
"Cameras and camcorders","Digital SLR Cameras","Q2","Jun","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q3","Jul","Forecast",
"Cameras and camcorders","Digital SLR Cameras","Q3","Jul","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q3","Aug","Forecast",
"Cameras and camcorders","Digital SLR Cameras","Q3","Aug","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q3","Sep","Forecast",
"Cameras and camcorders","Digital SLR Cameras","Q3","Sep","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q4","Oct","Forecast",
"Cameras and camcorders","Digital SLR Cameras","Q4","Oct","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q4","Nov","Forecast",
"Cameras and camcorders","Digital SLR Cameras","Q4","Nov","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q4","Dec","Forecast",
"Cameras and camcorders","Digital SLR Cameras","Q4","Dec","Actuals",
"Cell phones","Cell phones Accessories","Q1","Jan","Forecast",
"Cell phones","Cell phones Accessories","Q1","Jan","Actuals",
"Cell phones","Cell phones Accessories","Q1","Feb","Forecast",
"Cell phones","Cell phones Accessories","Q1","Feb","Actuals",
"Cell phones","Cell phones Accessories","Q1","Mar","Forecast",
"Cell phones","Cell phones Accessories","Q1","Mar","Actuals",
"Cell phones","Cell phones Accessories","Q2","Apr","Forecast",
"Cell phones","Cell phones Accessories","Q2","Apr","Actuals",
"Cell phones","Cell phones Accessories","Q2","May","Forecast",
"Cell phones","Cell phones Accessories","Q2","May","Actuals",
"Cell phones","Cell phones Accessories","Q2","Jun","Forecast",
"Cell phones","Cell phones Accessories","Q2","Jun","Actuals",
"Cell phones","Cell phones Accessories","Q3","Jul","Forecast",
"Cell phones","Cell phones Accessories","Q3","Jul","Actuals",
"Cell phones","Cell phones Accessories","Q3","Aug","Forecast",
"Cell phones","Cell phones Accessories","Q3","Aug","Actuals",
"Cell phones","Cell phones Accessories","Q3","Sep","Forecast",
"Cell phones","Cell phones Accessories","Q3","Sep","Actuals",
"Cell phones","Cell phones Accessories","Q4","Oct","Forecast",
"Cell phones","Cell phones Accessories","Q4","Oct","Actuals",
"Cell phones","Cell phones Accessories","Q4","Nov","Forecast",
"Cell phones","Cell phones Accessories","Q4","Nov","Actuals",
"Cell phones","Cell phones Accessories","Q4","Dec","Forecast",
"Cell phones","Cell phones Accessories","Q4","Dec","Actuals",
"Cell phones","Home & Office Phones","Q1","Jan","Forecast",
"Cell phones","Home & Office Phones","Q1","Jan","Actuals",
"Cell phones","Home & Office Phones","Q1","Feb","Forecast",
"Cell phones","Home & Office Phones","Q1","Feb","Actuals",
"Cell phones","Home & Office Phones","Q1","Mar","Forecast",
"Cell phones","Home & Office Phones","Q1","Mar","Actuals",
"Cell phones","Home & Office Phones","Q2","Apr","Forecast",
"Cell phones","Home & Office Phones","Q2","Apr","Actuals",
"Cell phones","Home & Office Phones","Q2","May","Forecast",
"Cell phones","Home & Office Phones","Q2","May","Actuals",
"Cell phones","Home & Office Phones","Q2","Jun","Forecast",
"Cell phones","Home & Office Phones","Q2","Jun","Actuals",
"Cell phones","Home & Office Phones","Q3","Jul","Forecast",
"Cell phones","Home & Office Phones","Q3","Jul","Actuals",
"Cell phones","Home & Office Phones","Q3","Aug","Forecast",
"Cell phones","Home & Office Phones","Q3","Aug","Actuals",
"Cell phones","Home & Office Phones","Q3","Sep","Forecast",
"Cell phones","Home & Office Phones","Q3","Sep","Actuals",
"Cell phones","Home & Office Phones","Q4","Oct","Forecast",
"Cell phones","Home & Office Phones","Q4","Oct","Actuals",
"Cell phones","Home & Office Phones","Q4","Nov","Forecast",
"Cell phones","Home & Office Phones","Q4","Nov","Actuals",
"Cell phones","Home & Office Phones","Q4","Dec","Forecast",
"Cell phones","Home & Office Phones","Q4","Dec","Actuals",
"Cell phones","Smart phones & PDAs","Q1","Jan","Forecast","46856.25"
"Cell phones","Smart phones & PDAs","Q1","Jan","Actuals","44625"
"Cell phones","Smart phones & PDAs","Q1","Feb","Forecast","45568.950000000004"
"Cell phones","Smart phones & PDAs","Q1","Feb","Actuals","43399"
"Cell phones","Smart phones & PDAs","Q1","Mar","Forecast","50372.700000000004"
"Cell phones","Smart phones & PDAs","Q1","Mar","Actuals","47974"
"Cell phones","Smart phones & PDAs","Q2","Apr","Forecast","45032.4"
"Cell phones","Smart phones & PDAs","Q2","Apr","Actuals","42888"
"Cell phones","Smart phones & PDAs","Q2","May","Forecast","37414.65"
"Cell phones","Smart phones & PDAs","Q2","May","Actuals","35633"
"Cell phones","Smart phones & PDAs","Q2","Jun","Forecast","34589.1"
"Cell phones","Smart phones & PDAs","Q2","Jun","Actuals",
"Cell phones","Smart phones & PDAs","Q3","Jul","Forecast","49498.05"
"Cell phones","Smart phones & PDAs","Q3","Jul","Actuals",
"Cell phones","Smart phones & PDAs","Q3","Aug","Forecast",
"Cell phones","Smart phones & PDAs","Q3","Aug","Actuals",
"Cell phones","Smart phones & PDAs","Q3","Sep","Forecast",
"Cell phones","Smart phones & PDAs","Q3","Sep","Actuals",
"Cell phones","Smart phones & PDAs","Q4","Oct","Forecast",
"Cell phones","Smart phones & PDAs","Q4","Oct","Actuals",
"Cell phones","Smart phones & PDAs","Q4","Nov","Forecast",
"Cell phones","Smart phones & PDAs","Q4","Nov","Actuals",
"Cell phones","Smart phones & PDAs","Q4","Dec","Forecast",
"Cell phones","Smart phones & PDAs","Q4","Dec","Actuals",
"Cell phones","Touch Screen Phones","Q1","Jan","Forecast","33604.200000000004"
"Cell phones","Touch Screen Phones","Q1","Jan","Actuals","32004"
"Cell phones","Touch Screen Phones","Q1","Feb","Forecast","16263.45"
"Cell phones","Touch Screen Phones","Q1","Feb","Actuals","15489"
"Cell phones","Touch Screen Phones","Q1","Mar","Forecast","26095.65"
"Cell phones","Touch Screen Phones","Q1","Mar","Actuals","24853"
"Cell phones","Touch Screen Phones","Q2","Apr","Forecast","15779.400000000001"
"Cell phones","Touch Screen Phones","Q2","Apr","Actuals","15028"
"Cell phones","Touch Screen Phones","Q2","May","Forecast","25284"
"Cell phones","Touch Screen Phones","Q2","May","Actuals","24080"
"Cell phones","Touch Screen Phones","Q2","Jun","Forecast","20696.55"
"Cell phones","Touch Screen Phones","Q2","Jun","Actuals",
"Cell phones","Touch Screen Phones","Q3","Jul","Forecast","29497.65"
"Cell phones","Touch Screen Phones","Q3","Jul","Actuals",
"Cell phones","Touch Screen Phones","Q3","Aug","Forecast",
"Cell phones","Touch Screen Phones","Q3","Aug","Actuals",
"Cell phones","Touch Screen Phones","Q3","Sep","Forecast",
"Cell phones","Touch Screen Phones","Q3","Sep","Actuals",
"Cell phones","Touch Screen Phones","Q4","Oct","Forecast",
"Cell phones","Touch Screen Phones","Q4","Oct","Actuals",
"Cell phones","Touch Screen Phones","Q4","Nov","Forecast",
"Cell phones","Touch Screen Phones","Q4","Nov","Actuals",
"Cell phones","Touch Screen Phones","Q4","Dec","Forecast",
"Cell phones","Touch Screen Phones","Q4","Dec","Actuals",
"Computers","Computers Accessories","Q1","Jan","Forecast",
"Computers","Computers Accessories","Q1","Jan","Actuals",
"Computers","Computers Accessories","Q1","Feb","Forecast",
"Computers","Computers Accessories","Q1","Feb","Actuals",
"Computers","Computers Accessories","Q1","Mar","Forecast",
"Computers","Computers Accessories","Q1","Mar","Actuals",
"Computers","Computers Accessories","Q2","Apr","Forecast",
"Computers","Computers Accessories","Q2","Apr","Actuals",
"Computers","Computers Accessories","Q2","May","Forecast",
"Computers","Computers Accessories","Q2","May","Actuals",
"Computers","Computers Accessories","Q2","Jun","Forecast",
"Computers","Computers Accessories","Q2","Jun","Actuals",
"Computers","Computers Accessories","Q3","Jul","Forecast",
"Computers","Computers Accessories","Q3","Jul","Actuals",
"Computers","Computers Accessories","Q3","Aug","Forecast",
"Computers","Computers Accessories","Q3","Aug","Actuals",
"Computers","Computers Accessories","Q3","Sep","Forecast",
"Computers","Computers Accessories","Q3","Sep","Actuals",
"Computers","Computers Accessories","Q4","Oct","Forecast",
"Computers","Computers Accessories","Q4","Oct","Actuals",
"Computers","Computers Accessories","Q4","Nov","Forecast",
"Computers","Computers Accessories","Q4","Nov","Actuals",
"Computers","Computers Accessories","Q4","Dec","Forecast",
"Computers","Computers Accessories","Q4","Dec","Actuals",
"Computers","Desktops","Q1","Jan","Forecast","34926.36"
"Computers","Desktops","Q1","Jan","Actuals","166316"
"Computers","Desktops","Q1","Feb","Forecast","25070.85"
"Computers","Desktops","Q1","Feb","Actuals","119385"
"Computers","Desktops","Q1","Mar","Forecast","19709.969999999998"
"Computers","Desktops","Q1","Mar","Actuals","93857"
"Computers","Desktops","Q2","Apr","Forecast","17304.42"
"Computers","Desktops","Q2","Apr","Actuals","82402"
"Computers","Desktops","Q2","May","Forecast","12483.869999999999"
"Computers","Desktops","Q2","May","Actuals","59447"
"Computers","Desktops","Q2","Jun","Forecast","18957.96"
"Computers","Desktops","Q2","Jun","Actuals",
"Computers","Desktops","Q3","Jul","Forecast","21507.36"
"Computers","Desktops","Q3","Jul","Actuals",
"Computers","Desktops","Q3","Aug","Forecast",
"Computers","Desktops","Q3","Aug","Actuals",
"Computers","Desktops","Q3","Sep","Forecast",
"Computers","Desktops","Q3","Sep","Actuals",
"Computers","Desktops","Q4","Oct","Forecast",
"Computers","Desktops","Q4","Oct","Actuals",
"Computers","Desktops","Q4","Nov","Forecast",
"Computers","Desktops","Q4","Nov","Actuals",
"Computers","Desktops","Q4","Dec","Forecast",
"Computers","Desktops","Q4","Dec","Actuals",
"Computers","Laptops","Q1","Jan","Forecast","191227.84"
"Computers","Laptops","Q1","Jan","Actuals","154216"
"Computers","Laptops","Q1","Feb","Forecast","220064.04"
"Computers","Laptops","Q1","Feb","Actuals","177471"
"Computers","Laptops","Q1","Mar","Forecast","138818"
"Computers","Laptops","Q1","Mar","Actuals","111950"
"Computers","Laptops","Q2","Apr","Forecast","129324.56"
"Computers","Laptops","Q2","Apr","Actuals","104294"
"Computers","Laptops","Q2","May","Forecast","135915.16"
"Computers","Laptops","Q2","May","Actuals","109609"
"Computers","Laptops","Q2","Jun","Forecast","112505.2"
"Computers","Laptops","Q2","Jun","Actuals",
"Computers","Laptops","Q3","Jul","Forecast","185728.44"
"Computers","Laptops","Q3","Jul","Actuals",
"Computers","Laptops","Q3","Aug","Forecast",
"Computers","Laptops","Q3","Aug","Actuals",
"Computers","Laptops","Q3","Sep","Forecast",
"Computers","Laptops","Q3","Sep","Actuals",
"Computers","Laptops","Q4","Oct","Forecast",
"Computers","Laptops","Q4","Oct","Actuals",
"Computers","Laptops","Q4","Nov","Forecast",
"Computers","Laptops","Q4","Nov","Actuals",
"Computers","Laptops","Q4","Dec","Forecast",
"Computers","Laptops","Q4","Dec","Actuals",
"Computers","Monitors","Q1","Jan","Forecast","19880.64"
"Computers","Monitors","Q1","Jan","Actuals","165672"
"Computers","Monitors","Q1","Feb","Forecast","13028.16"
"Computers","Monitors","Q1","Feb","Actuals","108568"
"Computers","Monitors","Q1","Mar","Forecast","8721.96"
"Computers","Monitors","Q1","Mar","Actuals","72683"
"Computers","Monitors","Q2","Apr","Forecast","10767.96"
"Computers","Monitors","Q2","Apr","Actuals","89733"
"Computers","Monitors","Q2","May","Forecast","6985.08"
"Computers","Monitors","Q2","May","Actuals","58209"
"Computers","Monitors","Q2","Jun","Forecast","6369.24"
"Computers","Monitors","Q2","Jun","Actuals",
"Computers","Monitors","Q3","Jul","Forecast","10224.96"
"Computers","Monitors","Q3","Jul","Actuals",
"Computers","Monitors","Q3","Aug","Forecast",
"Computers","Monitors","Q3","Aug","Actuals",
"Computers","Monitors","Q3","Sep","Forecast",
"Computers","Monitors","Q3","Sep","Actuals",
"Computers","Monitors","Q4","Oct","Forecast",
"Computers","Monitors","Q4","Oct","Actuals",
"Computers","Monitors","Q4","Nov","Forecast",
"Computers","Monitors","Q4","Nov","Actuals",
"Computers","Monitors","Q4","Dec","Forecast",
"Computers","Monitors","Q4","Dec","Actuals",
"Computers","Printers, Scanners & Fax","Q1","Jan","Forecast",
"Computers","Printers, Scanners & Fax","Q1","Jan","Actuals",
"Computers","Printers, Scanners & Fax","Q1","Feb","Forecast",
"Computers","Printers, Scanners & Fax","Q1","Feb","Actuals",
"Computers","Printers, Scanners & Fax","Q1","Mar","Forecast",
"Computers","Printers, Scanners & Fax","Q1","Mar","Actuals",
"Computers","Printers, Scanners & Fax","Q2","Apr","Forecast",
"Computers","Printers, Scanners & Fax","Q2","Apr","Actuals",
"Computers","Printers, Scanners & Fax","Q2","May","Forecast",
"Computers","Printers, Scanners & Fax","Q2","May","Actuals",
"Computers","Printers, Scanners & Fax","Q2","Jun","Forecast",
"Computers","Printers, Scanners & Fax","Q2","Jun","Actuals",
"Computers","Printers, Scanners & Fax","Q3","Jul","Forecast",
"Computers","Printers, Scanners & Fax","Q3","Jul","Actuals",
"Computers","Printers, Scanners & Fax","Q3","Aug","Forecast",
"Computers","Printers, Scanners & Fax","Q3","Aug","Actuals",
"Computers","Printers, Scanners & Fax","Q3","Sep","Forecast",
"Computers","Printers, Scanners & Fax","Q3","Sep","Actuals",
"Computers","Printers, Scanners & Fax","Q4","Oct","Forecast",
"Computers","Printers, Scanners & Fax","Q4","Oct","Actuals",
"Computers","Printers, Scanners & Fax","Q4","Nov","Forecast",
"Computers","Printers, Scanners & Fax","Q4","Nov","Actuals",
"Computers","Printers, Scanners & Fax","Q4","Dec","Forecast",
"Computers","Printers, Scanners & Fax","Q4","Dec","Actuals",
"Computers","Projectors & Screens","Q1","Jan","Forecast","234201.87"
"Computers","Projectors & Screens","Q1","Jan","Actuals","159321"
"Computers","Projectors & Screens","Q1","Feb","Forecast","146681.01"
"Computers","Projectors & Screens","Q1","Feb","Actuals","99783"
"Computers","Projectors & Screens","Q1","Mar","Forecast","121566.06"
"Computers","Projectors & Screens","Q1","Mar","Actuals","82698"
"Computers","Projectors & Screens","Q2","Apr","Forecast","106510.31999999999"
"Computers","Projectors & Screens","Q2","Apr","Actuals","72456"
"Computers","Projectors & Screens","Q2","May","Forecast","139417.74"
"Computers","Projectors & Screens","Q2","May","Actuals","94842"
"Computers","Projectors & Screens","Q2","Jun","Forecast","107342.34"
"Computers","Projectors & Screens","Q2","Jun","Actuals",
"Computers","Projectors & Screens","Q3","Jul","Forecast","180711.51"
"Computers","Projectors & Screens","Q3","Jul","Actuals",
"Computers","Projectors & Screens","Q3","Aug","Forecast",
"Computers","Projectors & Screens","Q3","Aug","Actuals",
"Computers","Projectors & Screens","Q3","Sep","Forecast",
"Computers","Projectors & Screens","Q3","Sep","Actuals",
"Computers","Projectors & Screens","Q4","Oct","Forecast",
"Computers","Projectors & Screens","Q4","Oct","Actuals",
"Computers","Projectors & Screens","Q4","Nov","Forecast",
"Computers","Projectors & Screens","Q4","Nov","Actuals",
"Computers","Projectors & Screens","Q4","Dec","Forecast",
"Computers","Projectors & Screens","Q4","Dec","Actuals",
"Games and Toys","Boxed Games","Q1","Jan","Forecast","333.90000000000003"
"Games and Toys","Boxed Games","Q1","Jan","Actuals","318"
"Games and Toys","Boxed Games","Q1","Feb","Forecast","413.70000000000005"
"Games and Toys","Boxed Games","Q1","Feb","Actuals","394"
"Games and Toys","Boxed Games","Q1","Mar","Forecast","152.25"
"Games and Toys","Boxed Games","Q1","Mar","Actuals","145"
"Games and Toys","Boxed Games","Q2","Apr","Forecast","274.05"
"Games and Toys","Boxed Games","Q2","Apr","Actuals","261"
"Games and Toys","Boxed Games","Q2","May","Forecast","340.2"
"Games and Toys","Boxed Games","Q2","May","Actuals","324"
"Games and Toys","Boxed Games","Q2","Jun","Forecast","278.25"
"Games and Toys","Boxed Games","Q2","Jun","Actuals",
"Games and Toys","Boxed Games","Q3","Jul","Forecast","159.6"
"Games and Toys","Boxed Games","Q3","Jul","Actuals",
"Games and Toys","Boxed Games","Q3","Aug","Forecast",
"Games and Toys","Boxed Games","Q3","Aug","Actuals",
"Games and Toys","Boxed Games","Q3","Sep","Forecast",
"Games and Toys","Boxed Games","Q3","Sep","Actuals",
"Games and Toys","Boxed Games","Q4","Oct","Forecast",
"Games and Toys","Boxed Games","Q4","Oct","Actuals",
"Games and Toys","Boxed Games","Q4","Nov","Forecast",
"Games and Toys","Boxed Games","Q4","Nov","Actuals",
"Games and Toys","Boxed Games","Q4","Dec","Forecast",
"Games and Toys","Boxed Games","Q4","Dec","Actuals",
"Games and Toys","Download Games","Q1","Jan","Forecast","13486.2"
"Games and Toys","Download Games","Q1","Jan","Actuals","12844"
"Games and Toys","Download Games","Q1","Feb","Forecast","7462.35"
"Games and Toys","Download Games","Q1","Feb","Actuals","7107"
"Games and Toys","Download Games","Q1","Mar","Forecast","10566.15"
"Games and Toys","Download Games","Q1","Mar","Actuals","10063"
"Games and Toys","Download Games","Q2","Apr","Forecast","8007.3"
"Games and Toys","Download Games","Q2","Apr","Actuals","7626"
"Games and Toys","Download Games","Q2","May","Forecast","6823.950000000001"
"Games and Toys","Download Games","Q2","May","Actuals","6499"
"Games and Toys","Download Games","Q2","Jun","Forecast","8287.65"
"Games and Toys","Download Games","Q2","Jun","Actuals",
"Games and Toys","Download Games","Q3","Jul","Forecast","12288.15"
"Games and Toys","Download Games","Q3","Jul","Actuals",
"Games and Toys","Download Games","Q3","Aug","Forecast",
"Games and Toys","Download Games","Q3","Aug","Actuals",
"Games and Toys","Download Games","Q3","Sep","Forecast",
"Games and Toys","Download Games","Q3","Sep","Actuals",
"Games and Toys","Download Games","Q4","Oct","Forecast",
"Games and Toys","Download Games","Q4","Oct","Actuals",
"Games and Toys","Download Games","Q4","Nov","Forecast",
