Business Area,Cost element name,Cost Element Group,Cost Element Sub Group,Value Column Name,Value
"Infrastructure","Professional Services","Other","Severance","LE1",
"Infrastructure","Professional Services","Other","Supplies","LE1",
"Infrastructure","Professional Services","Other","Taxes","LE1",
"Infrastructure","Professional Services","Other","Telecomm","LE1",
"Infrastructure","Professional Services","Other","Training","LE1",
"Infrastructure","Professional Services","Other","Travel","LE1",
"Infrastructure","Professional Services","Other","Vehicles","LE1",
"Infrastructure","Professional Services","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Professional Services","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Telephone","Administrative","Administrative","LE1",
"Infrastructure","Telephone","CAPEX","CAPEX","LE1",
"Infrastructure","Telephone","Depr & Amort","Amortization","LE1",
"Infrastructure","Telephone","Depr & Amort","Depreciation","LE1",
"Infrastructure","Telephone","Hardware & Software","Hardware","LE1",
"Infrastructure","Telephone","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Telephone","Hardware & Software","Software","LE1",
"Infrastructure","Telephone","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Telephone","Labor","External Labor","LE1",
"Infrastructure","Telephone","Labor","Internal Labor","LE1",
"Infrastructure","Telephone","Other","Employee Performance","LE1",
"Infrastructure","Telephone","Other","Legal","LE1",
"Infrastructure","Telephone","Other","Moving","LE1",
"Infrastructure","Telephone","Other","Other","LE1",
"Infrastructure","Telephone","Other","Project Expenses","LE1",
"Infrastructure","Telephone","Other","Recognition","LE1",
"Infrastructure","Telephone","Other","Severance","LE1",
"Infrastructure","Telephone","Other","Supplies","LE1",
"Infrastructure","Telephone","Other","Taxes","LE1",
"Infrastructure","Telephone","Other","Telecomm","LE1","8363644.967820008"
"Infrastructure","Telephone","Other","Training","LE1",
"Infrastructure","Telephone","Other","Travel","LE1",
"Infrastructure","Telephone","Other","Vehicles","LE1",
"Infrastructure","Telephone","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Telephone","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Software Maintenance","Administrative","Administrative","LE1",
"Infrastructure","Software Maintenance","CAPEX","CAPEX","LE1",
"Infrastructure","Software Maintenance","Depr & Amort","Amortization","LE1",
"Infrastructure","Software Maintenance","Depr & Amort","Depreciation","LE1",
"Infrastructure","Software Maintenance","Hardware & Software","Hardware","LE1",
"Infrastructure","Software Maintenance","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Software Maintenance","Hardware & Software","Software","LE1",
"Infrastructure","Software Maintenance","Hardware & Software","Software Maintenance","LE1","7156019.151090006"
"Infrastructure","Software Maintenance","Labor","External Labor","LE1",
"Infrastructure","Software Maintenance","Labor","Internal Labor","LE1",
"Infrastructure","Software Maintenance","Other","Employee Performance","LE1",
"Infrastructure","Software Maintenance","Other","Legal","LE1",
"Infrastructure","Software Maintenance","Other","Moving","LE1",
"Infrastructure","Software Maintenance","Other","Other","LE1",
"Infrastructure","Software Maintenance","Other","Project Expenses","LE1",
"Infrastructure","Software Maintenance","Other","Recognition","LE1",
"Infrastructure","Software Maintenance","Other","Severance","LE1",
"Infrastructure","Software Maintenance","Other","Supplies","LE1",
"Infrastructure","Software Maintenance","Other","Taxes","LE1",
"Infrastructure","Software Maintenance","Other","Telecomm","LE1",
"Infrastructure","Software Maintenance","Other","Training","LE1",
"Infrastructure","Software Maintenance","Other","Travel","LE1",
"Infrastructure","Software Maintenance","Other","Vehicles","LE1",
"Infrastructure","Software Maintenance","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Software Maintenance","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Fixed Assets","Administrative","Administrative","LE1",
"Infrastructure","Fixed Assets","CAPEX","CAPEX","LE1",
"Infrastructure","Fixed Assets","Depr & Amort","Amortization","LE1",
"Infrastructure","Fixed Assets","Depr & Amort","Depreciation","LE1","6508840.227179999"
"Infrastructure","Fixed Assets","Hardware & Software","Hardware","LE1",
"Infrastructure","Fixed Assets","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Fixed Assets","Hardware & Software","Software","LE1",
"Infrastructure","Fixed Assets","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Fixed Assets","Labor","External Labor","LE1",
"Infrastructure","Fixed Assets","Labor","Internal Labor","LE1",
"Infrastructure","Fixed Assets","Other","Employee Performance","LE1",
"Infrastructure","Fixed Assets","Other","Legal","LE1",
"Infrastructure","Fixed Assets","Other","Moving","LE1",
"Infrastructure","Fixed Assets","Other","Other","LE1",
"Infrastructure","Fixed Assets","Other","Project Expenses","LE1",
"Infrastructure","Fixed Assets","Other","Recognition","LE1",
"Infrastructure","Fixed Assets","Other","Severance","LE1",
"Infrastructure","Fixed Assets","Other","Supplies","LE1",
"Infrastructure","Fixed Assets","Other","Taxes","LE1",
"Infrastructure","Fixed Assets","Other","Telecomm","LE1",
"Infrastructure","Fixed Assets","Other","Training","LE1",
"Infrastructure","Fixed Assets","Other","Travel","LE1",
"Infrastructure","Fixed Assets","Other","Vehicles","LE1",
"Infrastructure","Fixed Assets","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Fixed Assets","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Regular Salaries And Wages","Administrative","Administrative","LE1",
"Infrastructure","Regular Salaries And Wages","CAPEX","CAPEX","LE1",
"Infrastructure","Regular Salaries And Wages","Depr & Amort","Amortization","LE1",
"Infrastructure","Regular Salaries And Wages","Depr & Amort","Depreciation","LE1",
"Infrastructure","Regular Salaries And Wages","Hardware & Software","Hardware","LE1",
"Infrastructure","Regular Salaries And Wages","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Regular Salaries And Wages","Hardware & Software","Software","LE1",
"Infrastructure","Regular Salaries And Wages","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Regular Salaries And Wages","Labor","External Labor","LE1",
"Infrastructure","Regular Salaries And Wages","Labor","Internal Labor","LE1","6481416.6809999775"
"Infrastructure","Regular Salaries And Wages","Other","Employee Performance","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Legal","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Moving","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Other","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Project Expenses","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Recognition","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Severance","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Supplies","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Taxes","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Telecomm","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Training","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Travel","LE1",
"Infrastructure","Regular Salaries And Wages","Other","Vehicles","LE1",
"Infrastructure","Regular Salaries And Wages","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Regular Salaries And Wages","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Computer Rental","Administrative","Administrative","LE1",
"Infrastructure","Computer Rental","CAPEX","CAPEX","LE1",
"Infrastructure","Computer Rental","Depr & Amort","Amortization","LE1",
"Infrastructure","Computer Rental","Depr & Amort","Depreciation","LE1",
"Infrastructure","Computer Rental","Hardware & Software","Hardware","LE1","3440925.1470000013"
"Infrastructure","Computer Rental","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Computer Rental","Hardware & Software","Software","LE1",
"Infrastructure","Computer Rental","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Computer Rental","Labor","External Labor","LE1",
"Infrastructure","Computer Rental","Labor","Internal Labor","LE1",
"Infrastructure","Computer Rental","Other","Employee Performance","LE1",
"Infrastructure","Computer Rental","Other","Legal","LE1",
"Infrastructure","Computer Rental","Other","Moving","LE1",
"Infrastructure","Computer Rental","Other","Other","LE1",
"Infrastructure","Computer Rental","Other","Project Expenses","LE1",
"Infrastructure","Computer Rental","Other","Recognition","LE1",
"Infrastructure","Computer Rental","Other","Severance","LE1",
"Infrastructure","Computer Rental","Other","Supplies","LE1",
"Infrastructure","Computer Rental","Other","Taxes","LE1",
"Infrastructure","Computer Rental","Other","Telecomm","LE1",
"Infrastructure","Computer Rental","Other","Training","LE1",
"Infrastructure","Computer Rental","Other","Travel","LE1",
"Infrastructure","Computer Rental","Other","Vehicles","LE1",
"Infrastructure","Computer Rental","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Computer Rental","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Computer Hardware","Administrative","Administrative","LE1",
"Infrastructure","Computer Hardware","CAPEX","CAPEX","LE1",
"Infrastructure","Computer Hardware","Depr & Amort","Amortization","LE1",
"Infrastructure","Computer Hardware","Depr & Amort","Depreciation","LE1",
"Infrastructure","Computer Hardware","Hardware & Software","Hardware","LE1","3188178.656730004"
"Infrastructure","Computer Hardware","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Computer Hardware","Hardware & Software","Software","LE1",
"Infrastructure","Computer Hardware","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Computer Hardware","Labor","External Labor","LE1",
"Infrastructure","Computer Hardware","Labor","Internal Labor","LE1",
"Infrastructure","Computer Hardware","Other","Employee Performance","LE1",
"Infrastructure","Computer Hardware","Other","Legal","LE1",
"Infrastructure","Computer Hardware","Other","Moving","LE1",
"Infrastructure","Computer Hardware","Other","Other","LE1",
"Infrastructure","Computer Hardware","Other","Project Expenses","LE1",
"Infrastructure","Computer Hardware","Other","Recognition","LE1",
"Infrastructure","Computer Hardware","Other","Severance","LE1",
"Infrastructure","Computer Hardware","Other","Supplies","LE1",
"Infrastructure","Computer Hardware","Other","Taxes","LE1",
"Infrastructure","Computer Hardware","Other","Telecomm","LE1",
"Infrastructure","Computer Hardware","Other","Training","LE1",
"Infrastructure","Computer Hardware","Other","Travel","LE1",
"Infrastructure","Computer Hardware","Other","Vehicles","LE1",
"Infrastructure","Computer Hardware","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Computer Hardware","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Network Equipment Rental","Administrative","Administrative","LE1",
"Infrastructure","Network Equipment Rental","CAPEX","CAPEX","LE1",
"Infrastructure","Network Equipment Rental","Depr & Amort","Amortization","LE1",
"Infrastructure","Network Equipment Rental","Depr & Amort","Depreciation","LE1",
"Infrastructure","Network Equipment Rental","Hardware & Software","Hardware","LE1","2692960.0738199996"
"Infrastructure","Network Equipment Rental","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Network Equipment Rental","Hardware & Software","Software","LE1",
"Infrastructure","Network Equipment Rental","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Network Equipment Rental","Labor","External Labor","LE1",
"Infrastructure","Network Equipment Rental","Labor","Internal Labor","LE1",
"Infrastructure","Network Equipment Rental","Other","Employee Performance","LE1",
"Infrastructure","Network Equipment Rental","Other","Legal","LE1",
"Infrastructure","Network Equipment Rental","Other","Moving","LE1",
"Infrastructure","Network Equipment Rental","Other","Other","LE1",
"Infrastructure","Network Equipment Rental","Other","Project Expenses","LE1",
"Infrastructure","Network Equipment Rental","Other","Recognition","LE1",
"Infrastructure","Network Equipment Rental","Other","Severance","LE1",
"Infrastructure","Network Equipment Rental","Other","Supplies","LE1",
"Infrastructure","Network Equipment Rental","Other","Taxes","LE1",
"Infrastructure","Network Equipment Rental","Other","Telecomm","LE1",
"Infrastructure","Network Equipment Rental","Other","Training","LE1",
"Infrastructure","Network Equipment Rental","Other","Travel","LE1",
"Infrastructure","Network Equipment Rental","Other","Vehicles","LE1",
"Infrastructure","Network Equipment Rental","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Network Equipment Rental","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Maintenance and Repairs","Administrative","Administrative","LE1",
"Infrastructure","Maintenance and Repairs","CAPEX","CAPEX","LE1",
"Infrastructure","Maintenance and Repairs","Depr & Amort","Amortization","LE1",
"Infrastructure","Maintenance and Repairs","Depr & Amort","Depreciation","LE1",
"Infrastructure","Maintenance and Repairs","Hardware & Software","Hardware","LE1",
"Infrastructure","Maintenance and Repairs","Hardware & Software","Hardware Maintenance","LE1","2344126.9973400026"
"Infrastructure","Maintenance and Repairs","Hardware & Software","Software","LE1",
"Infrastructure","Maintenance and Repairs","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Maintenance and Repairs","Labor","External Labor","LE1",
"Infrastructure","Maintenance and Repairs","Labor","Internal Labor","LE1",
"Infrastructure","Maintenance and Repairs","Other","Employee Performance","LE1",
"Infrastructure","Maintenance and Repairs","Other","Legal","LE1",
"Infrastructure","Maintenance and Repairs","Other","Moving","LE1",
"Infrastructure","Maintenance and Repairs","Other","Other","LE1",
"Infrastructure","Maintenance and Repairs","Other","Project Expenses","LE1",
"Infrastructure","Maintenance and Repairs","Other","Recognition","LE1",
"Infrastructure","Maintenance and Repairs","Other","Severance","LE1",
"Infrastructure","Maintenance and Repairs","Other","Supplies","LE1",
"Infrastructure","Maintenance and Repairs","Other","Taxes","LE1",
"Infrastructure","Maintenance and Repairs","Other","Telecomm","LE1",
"Infrastructure","Maintenance and Repairs","Other","Training","LE1",
"Infrastructure","Maintenance and Repairs","Other","Travel","LE1",
"Infrastructure","Maintenance and Repairs","Other","Vehicles","LE1",
"Infrastructure","Maintenance and Repairs","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Maintenance and Repairs","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Office Services","Administrative","Administrative","LE1",
"Infrastructure","Office Services","CAPEX","CAPEX","LE1",
"Infrastructure","Office Services","Depr & Amort","Amortization","LE1",
"Infrastructure","Office Services","Depr & Amort","Depreciation","LE1",
"Infrastructure","Office Services","Hardware & Software","Hardware","LE1",
"Infrastructure","Office Services","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Office Services","Hardware & Software","Software","LE1",
"Infrastructure","Office Services","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Office Services","Labor","External Labor","LE1","1662303.76008"
"Infrastructure","Office Services","Labor","Internal Labor","LE1",
"Infrastructure","Office Services","Other","Employee Performance","LE1",
"Infrastructure","Office Services","Other","Legal","LE1",
"Infrastructure","Office Services","Other","Moving","LE1",
"Infrastructure","Office Services","Other","Other","LE1",
"Infrastructure","Office Services","Other","Project Expenses","LE1",
"Infrastructure","Office Services","Other","Recognition","LE1",
"Infrastructure","Office Services","Other","Severance","LE1",
"Infrastructure","Office Services","Other","Supplies","LE1",
"Infrastructure","Office Services","Other","Taxes","LE1",
"Infrastructure","Office Services","Other","Telecomm","LE1",
"Infrastructure","Office Services","Other","Training","LE1",
"Infrastructure","Office Services","Other","Travel","LE1",
"Infrastructure","Office Services","Other","Vehicles","LE1",
"Infrastructure","Office Services","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Office Services","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Recurring","Administrative","Administrative","LE1",
"Infrastructure","Recurring","CAPEX","CAPEX","LE1",
"Infrastructure","Recurring","Depr & Amort","Amortization","LE1",
"Infrastructure","Recurring","Depr & Amort","Depreciation","LE1",
"Infrastructure","Recurring","Hardware & Software","Hardware","LE1",
"Infrastructure","Recurring","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Recurring","Hardware & Software","Software","LE1",
"Infrastructure","Recurring","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Recurring","Labor","External Labor","LE1",
"Infrastructure","Recurring","Labor","Internal Labor","LE1",
"Infrastructure","Recurring","Other","Employee Performance","LE1",
"Infrastructure","Recurring","Other","Legal","LE1",
"Infrastructure","Recurring","Other","Moving","LE1",
"Infrastructure","Recurring","Other","Other","LE1","1232269.641"
"Infrastructure","Recurring","Other","Project Expenses","LE1",
"Infrastructure","Recurring","Other","Recognition","LE1",
"Infrastructure","Recurring","Other","Severance","LE1",
"Infrastructure","Recurring","Other","Supplies","LE1",
"Infrastructure","Recurring","Other","Taxes","LE1",
"Infrastructure","Recurring","Other","Telecomm","LE1",
"Infrastructure","Recurring","Other","Training","LE1",
"Infrastructure","Recurring","Other","Travel","LE1",
"Infrastructure","Recurring","Other","Vehicles","LE1",
"Infrastructure","Recurring","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Recurring","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Telecommunication","Administrative","Administrative","LE1",
"Infrastructure","Telecommunication","CAPEX","CAPEX","LE1",
"Infrastructure","Telecommunication","Depr & Amort","Amortization","LE1",
"Infrastructure","Telecommunication","Depr & Amort","Depreciation","LE1",
"Infrastructure","Telecommunication","Hardware & Software","Hardware","LE1",
"Infrastructure","Telecommunication","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Telecommunication","Hardware & Software","Software","LE1",
"Infrastructure","Telecommunication","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Telecommunication","Labor","External Labor","LE1",
"Infrastructure","Telecommunication","Labor","Internal Labor","LE1",
"Infrastructure","Telecommunication","Other","Employee Performance","LE1",
"Infrastructure","Telecommunication","Other","Legal","LE1",
"Infrastructure","Telecommunication","Other","Moving","LE1",
"Infrastructure","Telecommunication","Other","Other","LE1",
"Infrastructure","Telecommunication","Other","Project Expenses","LE1",
"Infrastructure","Telecommunication","Other","Recognition","LE1",
"Infrastructure","Telecommunication","Other","Severance","LE1",
"Infrastructure","Telecommunication","Other","Supplies","LE1",
"Infrastructure","Telecommunication","Other","Taxes","LE1",
"Infrastructure","Telecommunication","Other","Telecomm","LE1","963686.6520000009"
"Infrastructure","Telecommunication","Other","Training","LE1",
"Infrastructure","Telecommunication","Other","Travel","LE1",
"Infrastructure","Telecommunication","Other","Vehicles","LE1",
"Infrastructure","Telecommunication","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Telecommunication","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Non CAPEX Equipment","Administrative","Administrative","LE1",
"Infrastructure","Non CAPEX Equipment","CAPEX","CAPEX","LE1",
"Infrastructure","Non CAPEX Equipment","Depr & Amort","Amortization","LE1",
"Infrastructure","Non CAPEX Equipment","Depr & Amort","Depreciation","LE1",
"Infrastructure","Non CAPEX Equipment","Hardware & Software","Hardware","LE1","857087.634"
"Infrastructure","Non CAPEX Equipment","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Non CAPEX Equipment","Hardware & Software","Software","LE1",
"Infrastructure","Non CAPEX Equipment","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Non CAPEX Equipment","Labor","External Labor","LE1",
"Infrastructure","Non CAPEX Equipment","Labor","Internal Labor","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Employee Performance","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Legal","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Moving","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Other","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Project Expenses","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Recognition","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Severance","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Supplies","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Taxes","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Telecomm","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Training","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Travel","LE1",
"Infrastructure","Non CAPEX Equipment","Other","Vehicles","LE1",
"Infrastructure","Non CAPEX Equipment","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Non CAPEX Equipment","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Purchased Software","Administrative","Administrative","LE1",
"Infrastructure","Purchased Software","CAPEX","CAPEX","LE1",
"Infrastructure","Purchased Software","Depr & Amort","Amortization","LE1",
"Infrastructure","Purchased Software","Depr & Amort","Depreciation","LE1",
"Infrastructure","Purchased Software","Hardware & Software","Hardware","LE1",
"Infrastructure","Purchased Software","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Purchased Software","Hardware & Software","Software","LE1","746416.6169999983"
"Infrastructure","Purchased Software","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Purchased Software","Labor","External Labor","LE1",
"Infrastructure","Purchased Software","Labor","Internal Labor","LE1",
"Infrastructure","Purchased Software","Other","Employee Performance","LE1",
"Infrastructure","Purchased Software","Other","Legal","LE1",
"Infrastructure","Purchased Software","Other","Moving","LE1",
"Infrastructure","Purchased Software","Other","Other","LE1",
"Infrastructure","Purchased Software","Other","Project Expenses","LE1",
"Infrastructure","Purchased Software","Other","Recognition","LE1",
"Infrastructure","Purchased Software","Other","Severance","LE1",
"Infrastructure","Purchased Software","Other","Supplies","LE1",
"Infrastructure","Purchased Software","Other","Taxes","LE1",
"Infrastructure","Purchased Software","Other","Telecomm","LE1",
"Infrastructure","Purchased Software","Other","Training","LE1",
"Infrastructure","Purchased Software","Other","Travel","LE1",
"Infrastructure","Purchased Software","Other","Vehicles","LE1",
"Infrastructure","Purchased Software","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Purchased Software","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Leasing","Administrative","Administrative","LE1",
"Infrastructure","Leasing","CAPEX","CAPEX","LE1",
"Infrastructure","Leasing","Depr & Amort","Amortization","LE1",
"Infrastructure","Leasing","Depr & Amort","Depreciation","LE1",
"Infrastructure","Leasing","Hardware & Software","Hardware","LE1",
"Infrastructure","Leasing","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Leasing","Hardware & Software","Software","LE1",
"Infrastructure","Leasing","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Leasing","Labor","External Labor","LE1",
"Infrastructure","Leasing","Labor","Internal Labor","LE1",
"Infrastructure","Leasing","Other","Employee Performance","LE1",
"Infrastructure","Leasing","Other","Legal","LE1",
"Infrastructure","Leasing","Other","Moving","LE1",
"Infrastructure","Leasing","Other","Other","LE1","489283.35599999985"
"Infrastructure","Leasing","Other","Project Expenses","LE1",
"Infrastructure","Leasing","Other","Recognition","LE1",
"Infrastructure","Leasing","Other","Severance","LE1",
"Infrastructure","Leasing","Other","Supplies","LE1",
"Infrastructure","Leasing","Other","Taxes","LE1",
"Infrastructure","Leasing","Other","Telecomm","LE1",
"Infrastructure","Leasing","Other","Training","LE1",
"Infrastructure","Leasing","Other","Travel","LE1",
"Infrastructure","Leasing","Other","Vehicles","LE1",
"Infrastructure","Leasing","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Leasing","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Bonuses","Administrative","Administrative","LE1",
"Infrastructure","Bonuses","CAPEX","CAPEX","LE1",
"Infrastructure","Bonuses","Depr & Amort","Amortization","LE1",
"Infrastructure","Bonuses","Depr & Amort","Depreciation","LE1",
"Infrastructure","Bonuses","Hardware & Software","Hardware","LE1",
"Infrastructure","Bonuses","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Bonuses","Hardware & Software","Software","LE1",
"Infrastructure","Bonuses","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Bonuses","Labor","External Labor","LE1",
"Infrastructure","Bonuses","Labor","Internal Labor","LE1","419859.67499999993"
"Infrastructure","Bonuses","Other","Employee Performance","LE1",
"Infrastructure","Bonuses","Other","Legal","LE1",
"Infrastructure","Bonuses","Other","Moving","LE1",
"Infrastructure","Bonuses","Other","Other","LE1",
"Infrastructure","Bonuses","Other","Project Expenses","LE1",
"Infrastructure","Bonuses","Other","Recognition","LE1",
"Infrastructure","Bonuses","Other","Severance","LE1",
"Infrastructure","Bonuses","Other","Supplies","LE1",
"Infrastructure","Bonuses","Other","Taxes","LE1",
"Infrastructure","Bonuses","Other","Telecomm","LE1",
"Infrastructure","Bonuses","Other","Training","LE1",
"Infrastructure","Bonuses","Other","Travel","LE1",
"Infrastructure","Bonuses","Other","Vehicles","LE1",
"Infrastructure","Bonuses","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Bonuses","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Retirement Plan Match","Administrative","Administrative","LE1",
"Infrastructure","Retirement Plan Match","CAPEX","CAPEX","LE1",
"Infrastructure","Retirement Plan Match","Depr & Amort","Amortization","LE1",
"Infrastructure","Retirement Plan Match","Depr & Amort","Depreciation","LE1",
"Infrastructure","Retirement Plan Match","Hardware & Software","Hardware","LE1",
"Infrastructure","Retirement Plan Match","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Retirement Plan Match","Hardware & Software","Software","LE1",
"Infrastructure","Retirement Plan Match","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Retirement Plan Match","Labor","External Labor","LE1",
"Infrastructure","Retirement Plan Match","Labor","Internal Labor","LE1","391964.6490000002"
"Infrastructure","Retirement Plan Match","Other","Employee Performance","LE1",
"Infrastructure","Retirement Plan Match","Other","Legal","LE1",
"Infrastructure","Retirement Plan Match","Other","Moving","LE1",
"Infrastructure","Retirement Plan Match","Other","Other","LE1",
"Infrastructure","Retirement Plan Match","Other","Project Expenses","LE1",
"Infrastructure","Retirement Plan Match","Other","Recognition","LE1",
"Infrastructure","Retirement Plan Match","Other","Severance","LE1",
"Infrastructure","Retirement Plan Match","Other","Supplies","LE1",
