SubCategory,ProductName,Value Column Name,Value
"Projectors & Screens","Proseware Screen 100in M1609","Total Customers","14"
"Projectors & Screens","Proseware Screen 100in M1609","Margin % (Calculated)","-0.24074702886247878"
"Projectors & Screens","Proseware Screen 106in M1609","Sales","5522"
"Projectors & Screens","Proseware Screen 106in M1609","Margin","-1378"
"Projectors & Screens","Proseware Screen 106in M1609","Margin %","-24.954726548352046"
"Projectors & Screens","Proseware Screen 106in M1609","Total Customers","10"
"Projectors & Screens","Proseware Screen 106in M1609","Margin % (Calculated)","-0.24954726548352046"
"Projectors & Screens","Contoso Screen 85in E085","Sales","5282"
"Projectors & Screens","Contoso Screen 85in E085","Margin","-1108"
"Projectors & Screens","Contoso Screen 85in E085","Margin %","-20.976902688375617"
"Projectors & Screens","Contoso Screen 85in E085","Total Customers","15"
"Projectors & Screens","Contoso Screen 85in E085","Margin % (Calculated)","-0.20976902688375615"
"Projectors & Screens","Contoso Screen 80in E080","Sales","4796"
"Projectors & Screens","Contoso Screen 80in E080","Margin","-580"
"Projectors & Screens","Contoso Screen 80in E080","Margin %","-12.093411175979984"
"Projectors & Screens","Contoso Screen 80in E080","Total Customers","16"
"Projectors & Screens","Contoso Screen 80in E080","Margin % (Calculated)","-0.12093411175979983"
"Projectors & Screens","WWI Screen 100in M1609","Sales","4750"
"Projectors & Screens","WWI Screen 100in M1609","Margin","574"
"Projectors & Screens","WWI Screen 100in M1609","Margin %","12.08421052631579"
"Projectors & Screens","WWI Screen 100in M1609","Total Customers","8"
"Projectors & Screens","WWI Screen 100in M1609","Margin % (Calculated)","0.12084210526315789"
"Projectors & Screens","WWI Screen 85in E1010","Sales","4309"
"Projectors & Screens","WWI Screen 85in E1010","Margin","49"
"Projectors & Screens","WWI Screen 85in E1010","Margin %","1.1371547922951961"
"Projectors & Screens","WWI Screen 85in E1010","Total Customers","10"
"Projectors & Screens","WWI Screen 85in E1010","Margin % (Calculated)","0.01137154792295196"
"Refrigerators","Fabrikam Refrigerator 24.7CuFt X9800","Sales","284800"
"Refrigerators","Fabrikam Refrigerator 24.7CuFt X9800","Margin","-12000"
"Refrigerators","Fabrikam Refrigerator 24.7CuFt X9800","Margin %","-4.213483146067416"
"Refrigerators","Fabrikam Refrigerator 24.7CuFt X9800","Total Customers","28"
"Refrigerators","Fabrikam Refrigerator 24.7CuFt X9800","Margin % (Calculated)","-0.042134831460674156"
"Refrigerators","Litware Refrigerator 24.7CuFt X980","Sales","208000"
"Refrigerators","Litware Refrigerator 24.7CuFt X980","Margin","-57000"
"Refrigerators","Litware Refrigerator 24.7CuFt X980","Margin %","-27.403846153846153"
"Refrigerators","Litware Refrigerator 24.7CuFt X980","Total Customers","25"
"Refrigerators","Litware Refrigerator 24.7CuFt X980","Margin % (Calculated)","-0.27403846153846156"
"Refrigerators","Fabrikam Refrigerator 19CuFt M7600","Sales","73718"
"Refrigerators","Fabrikam Refrigerator 19CuFt M7600","Margin","-46052"
"Refrigerators","Fabrikam Refrigerator 19CuFt M7600","Margin %","-62.47049567269866"
"Refrigerators","Fabrikam Refrigerator 19CuFt M7600","Total Customers","29"
"Refrigerators","Fabrikam Refrigerator 19CuFt M7600","Margin % (Calculated)","-0.6247049567269867"
"Refrigerators","Litware Refrigerator 19CuFt M760","Sales","72819"
"Refrigerators","Litware Refrigerator 19CuFt M760","Margin","-51081"
"Refrigerators","Litware Refrigerator 19CuFt M760","Margin %","-70.14790095991431"
"Refrigerators","Litware Refrigerator 19CuFt M760","Total Customers","30"
"Refrigerators","Litware Refrigerator 19CuFt M760","Margin % (Calculated)","-0.7014790095991431"
"Refrigerators","Litware Refrigerator L1200","Sales","67200"
"Refrigerators","Litware Refrigerator L1200","Margin","-17600"
"Refrigerators","Litware Refrigerator L1200","Margin %","-26.19047619047619"
"Refrigerators","Litware Refrigerator L1200","Total Customers","8"
"Refrigerators","Litware Refrigerator L1200","Margin % (Calculated)","-0.2619047619047619"
"Refrigerators","Fabrikam Refrigerator 9.7CuFt M5600","Sales","59160"
"Refrigerators","Fabrikam Refrigerator 9.7CuFt M5600","Margin","-29370"
"Refrigerators","Fabrikam Refrigerator 9.7CuFt M5600","Margin %","-49.64503042596349"
"Refrigerators","Fabrikam Refrigerator 9.7CuFt M5600","Total Customers","39"
"Refrigerators","Fabrikam Refrigerator 9.7CuFt M5600","Margin % (Calculated)","-0.4964503042596349"
"Refrigerators","Litware Refrigerator 9.7CuFt M560","Sales","45356"
"Refrigerators","Litware Refrigerator 9.7CuFt M560","Margin","-36364"
"Refrigerators","Litware Refrigerator 9.7CuFt M560","Margin %","-80.17461857306641"
"Refrigerators","Litware Refrigerator 9.7CuFt M560","Total Customers","35"
"Refrigerators","Litware Refrigerator 9.7CuFt M560","Margin % (Calculated)","-0.801746185730664"
"Refrigerators","Fabrikam Refrigerator 4.6CuFt E2800","Sales","38100"
"Refrigerators","Fabrikam Refrigerator 4.6CuFt E2800","Margin","-20040"
"Refrigerators","Fabrikam Refrigerator 4.6CuFt E2800","Margin %","-52.59842519685039"
"Refrigerators","Fabrikam Refrigerator 4.6CuFt E2800","Total Customers","37"
"Refrigerators","Fabrikam Refrigerator 4.6CuFt E2800","Margin % (Calculated)","-0.525984251968504"
"Refrigerators","Litware Refrigerator 3.2CuFt E160","Sales","33320"
"Refrigerators","Litware Refrigerator 3.2CuFt E160","Margin","-18160"
"Refrigerators","Litware Refrigerator 3.2CuFt E160","Margin %","-54.50180072028812"
"Refrigerators","Litware Refrigerator 3.2CuFt E160","Total Customers","32"
"Refrigerators","Litware Refrigerator 3.2CuFt E160","Margin % (Calculated)","-0.5450180072028812"
"Refrigerators","Fabrikam Refrigerator 3.2CuFt E1600","Sales","26320"
"Refrigerators","Fabrikam Refrigerator 3.2CuFt E1600","Margin","-22300"
"Refrigerators","Fabrikam Refrigerator 3.2CuFt E1600","Margin %","-84.72644376899696"
"Refrigerators","Fabrikam Refrigerator 3.2CuFt E1600","Total Customers","34"
"Refrigerators","Fabrikam Refrigerator 3.2CuFt E1600","Margin % (Calculated)","-0.8472644376899696"
"Refrigerators","Litware Refrigerator 4.6CuFt E280","Sales","22200"
"Refrigerators","Litware Refrigerator 4.6CuFt E280","Margin","-22170"
"Refrigerators","Litware Refrigerator 4.6CuFt E280","Margin %","-99.86486486486487"
"Refrigerators","Litware Refrigerator 4.6CuFt E280","Total Customers","28"
"Refrigerators","Litware Refrigerator 4.6CuFt E280","Margin % (Calculated)","-0.9986486486486487"
"Refrigerators","Litware Refrigerator 1.7CuFt E120","Sales","13390"
"Refrigerators","Litware Refrigerator 1.7CuFt E120","Margin","-11030"
"Refrigerators","Litware Refrigerator 1.7CuFt E120","Margin %","-82.37490664675131"
"Refrigerators","Litware Refrigerator 1.7CuFt E120","Total Customers","37"
"Refrigerators","Litware Refrigerator 1.7CuFt E120","Margin % (Calculated)","-0.8237490664675131"
"Refrigerators","Fabrikam Refrigerator 1.7CuFt E1200","Sales","9100"
"Refrigerators","Fabrikam Refrigerator 1.7CuFt E1200","Margin","-7400"
"Refrigerators","Fabrikam Refrigerator 1.7CuFt E1200","Margin %","-81.31868131868131"
"Refrigerators","Fabrikam Refrigerator 1.7CuFt E1200","Total Customers","25"
"Refrigerators","Fabrikam Refrigerator 1.7CuFt E1200","Margin % (Calculated)","-0.8131868131868132"
"Laptops","Adventure Works Laptop19W X1980","Sales","66249"
"Laptops","Adventure Works Laptop19W X1980","Margin","29699"
"Laptops","Adventure Works Laptop19W X1980","Margin %","44.829355914806264"
"Laptops","Adventure Works Laptop19W X1980","Total Customers","17"
"Laptops","Adventure Works Laptop19W X1980","Margin % (Calculated)","0.4482935591480626"
"Laptops","Adventure Works Laptop15.4W M1548","Sales","60640"
"Laptops","Adventure Works Laptop15.4W M1548","Margin","22250"
"Laptops","Adventure Works Laptop15.4W M1548","Margin %","36.69195250659631"
"Laptops","Adventure Works Laptop15.4W M1548","Total Customers","22"
"Laptops","Adventure Works Laptop15.4W M1548","Margin % (Calculated)","0.36691952506596304"
"Laptops","Proseware Laptop19 X910","Sales","41568"
"Laptops","Proseware Laptop19 X910","Margin","22218"
"Laptops","Proseware Laptop19 X910","Margin %","53.449769053117784"
"Laptops","Proseware Laptop19 X910","Total Customers","9"
"Laptops","Proseware Laptop19 X910","Margin % (Calculated)","0.5344976905311778"
"Laptops","WWI Laptop19W X0196","Sales","36372"
"Laptops","WWI Laptop19W X0196","Margin","17022"
"Laptops","WWI Laptop19W X0196","Margin %","46.79973606070604"
"Laptops","WWI Laptop19W X0196","Total Customers","9"
"Laptops","WWI Laptop19W X0196","Margin % (Calculated)","0.4679973606070604"
"Laptops","WWI Laptop15 M0150","Sales","27261"
"Laptops","WWI Laptop15 M0150","Margin","8001"
"Laptops","WWI Laptop15 M0150","Margin %","29.3496203367448"
"Laptops","WWI Laptop15 M0150","Total Customers","12"
"Laptops","WWI Laptop15 M0150","Margin % (Calculated)","0.293496203367448"
"Laptops","Adventure Works Laptop12 M1201","Sales","25278"
"Laptops","Adventure Works Laptop12 M1201","Margin","2853"
"Laptops","Adventure Works Laptop12 M1201","Margin %","11.286494184666509"
"Laptops","Adventure Works Laptop12 M1201","Total Customers","22"
"Laptops","Adventure Works Laptop12 M1201","Margin % (Calculated)","0.11286494184666508"
"Laptops","Adventure Works Laptop16 M1601","Sales","23960"
"Laptops","Adventure Works Laptop16 M1601","Margin","4710"
"Laptops","Adventure Works Laptop16 M1601","Margin %","19.657762938230384"
"Laptops","Adventure Works Laptop16 M1601","Total Customers","14"
"Laptops","Adventure Works Laptop16 M1601","Margin % (Calculated)","0.19657762938230383"
"Laptops","Proseware Laptop15 M510","Sales","22368"
"Laptops","Proseware Laptop15 M510","Margin","6318"
"Laptops","Proseware Laptop15 M510","Margin %","28.24570815450644"
"Laptops","Proseware Laptop15 M510","Total Customers","10"
"Laptops","Proseware Laptop15 M510","Margin % (Calculated)","0.2824570815450644"
"Laptops","Proseware Laptop15.4W M518","Sales","21982"
"Laptops","Proseware Laptop15.4W M518","Margin","2787"
"Laptops","Proseware Laptop15.4W M518","Margin %","12.678555181512147"
"Laptops","Proseware Laptop15.4W M518","Total Customers","11"
"Laptops","Proseware Laptop15.4W M518","Margin % (Calculated)","0.12678555181512147"
"Laptops","Fabrikam Laptop19 M9000","Sales","21980"
"Laptops","Fabrikam Laptop19 M9000","Margin","9240"
"Laptops","Fabrikam Laptop19 M9000","Margin %","42.038216560509554"
"Laptops","Fabrikam Laptop19 M9000","Total Customers","7"
"Laptops","Fabrikam Laptop19 M9000","Margin % (Calculated)","0.42038216560509556"
"Laptops","Adventure Works Laptop15 M1501","Sales","21669"
"Laptops","Adventure Works Laptop15 M1501","Margin","7224"
"Laptops","Adventure Works Laptop15 M1501","Margin %","33.33794822096082"
"Laptops","Adventure Works Laptop15 M1501","Total Customers","9"
"Laptops","Adventure Works Laptop15 M1501","Margin % (Calculated)","0.33337948220960817"
"Laptops","Adventure Works Laptop8.9 E0890","Sales","20212"
"Laptops","Adventure Works Laptop8.9 E0890","Margin","4442"
"Laptops","Adventure Works Laptop8.9 E0890","Margin %","21.97704334058975"
